annot_id	pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	your_confidence	notes
A062	39005453	T1	N-acetylglucosamine	Food	decreases_marker	Crohn's disease	IBD_Outcome	oral monosaccharide therapy with N-acetylglucosamine ameliorates the epithelial N-glycan defect, bile acid dyshomeostasis, intestinal permeability, and susceptibility to chemical-induced colitis in a mouse model of ZIP8 391-Thr.	animal	0.75	ZIP8 391-Thr mouse model of Crohn's disease; N-acetylglucosamine mapped as a dietary supplement/monosaccharide therapy (Food)
A063	39426229	T1	tributyrin	Food	decreases_marker	Crohn's disease	IBD_Outcome	Tributyrin significantly mitigated intestinal inflammation, reduced pathological progression, and inhibited pyroptosis and cGAS-STING pathway activation in the colitis rat model.	animal	0.75	TNBS rat model used as proxy for Crohn's disease; Tributyrin (butyrate prodrug) mapped as Food/dietary intervention
A064	40088871	T0	-	-	NONE	-	-	TCM formulas + mesalazine on UC patients	-	-	Off-scope: multi-herbal + drug combination
A065	40609203	T1	propionic acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Propionate effectively alleviated UC symptoms... These results strongly support the potential use of propionate in the clinical treatment of UC.	animal	0.75	Experimental colitis mouse model proxy for UC; propionate administered directly mapped as Food/dietary intervention
A066	40825123	T1	Campylobacter concisus	Microbe	produces	trisindoline	Bioactive	Through untargeted metabolomics, we identified a diverse array of nineteen indole-containing metabolites produced by C. concisus, including trisindoline	mechanistic	0.85	In vitro untargeted metabolomics characterization
A067	40848719	T1	Veillonella parvula	Microbe	produces	lipopolysaccharide	Bioactive	V. parvula expresses a highly pro-inflammatory lipopolysaccharide	mechanistic	0.85	V. parvula expression of LPS captured; host downstream effects on ASBT dropped
A068	40902769	T1	Glehnia littoralis polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The results demonstrated that GLP... alleviated colonic pathological damage... in rats with ulcerative colitis (UC)	animal	0.75	UC rat model; botanical polysaccharide mapped as Food
A069	41062543	T1	Faecalibacterium prausnitzii	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	In UC, commensals such as F. prausnitzii and A. muciniphila were depleted.	cohort	0.85	Matched cohort patient study data; explicit species name
A069	41062543	T2	Akkermansia muciniphila	Microbe	decreased_in	ulcerative colitis	IBD_Outcome	In UC, commensals such as F. prausnitzii and A. muciniphila were depleted.	cohort	0.85	Matched cohort patient study data; explicit species name
A070	41987447	T0	-	-	NONE	-	-	Moxibustion on tryptophan/kynurenine/AhR pathway	-	-	Off-scope: procedural therapy, no food/microbiome
A071	27612488	T0	-	-	NONE	-	-	Real-life chromoendoscopy for neoplasia detection in IBD	-	-	Off-scope: cancer surveillance
A072	30714145	T0	-	-	NONE	-	-	Cav3.2 calcium channels in colonic hypersensitivity	-	-	Off-scope: pharmacology
A073	32232483	T0	-	-	NONE	-	-	Intestinal organoid platform for T-cell mediated injury	-	-	Off-scope: organoid model
A074	37523538	T0	-	-	NONE	-	-	Engineered calprotectin-sensing probiotics for IBD surveillance	-	-	Off-scope: bioengineered diagnostic
A075	38458342	T0	-	-	NONE	-	-	Phenolic extract of Commiphora on inflammatory markers	-	-	Off-scope: immunology/signaling focus
A076	39032536	T0	-	-	NONE	-	-	Thioketal nanoparticles for targeted UC delivery	-	-	Off-scope: bioengineered drug delivery
A077	39200891	T0	-	-	NONE	-	-	Survey of probiotic prescription among gastroenterologists	-	-	Off-scope: clinical survey, no biology
A078	39569890	T0	-	-	NONE	-	-	Machine learning model for pediatric CD relapse prediction	-	-	Off-scope: clinical prediction model
A079	39825768	T0	-	-	NONE	-	-	Inter-rater disagreement in Montreal classification	-	-	Off-scope: clinical survey
A080	40263925	T0	-	-	NONE	-	-	CAT@ALG-PDA microreactors for ROS/RNS scavenging in IBD	-	-	Off-scope: bioengineered nanomedicine
A087	36988616	T1	Lactobacillus combination	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Combination treatment with two Lactobacillus strains strongly ameliorates colitis symptoms in the mouse model	animal	0.8	DSS mouse model; probiotic strain combination mapped as Food/supplement
A087	36988616	T2	Lactobacillus combination	Food	increases_abundance_of	Muribaculaceae	Microbe	alters intestinal microbial composition close to normal by increasing abundances of Muribaculaceae, Akkermansia, Clostridia, Oscillospiraceae, and Lachnospiraceae	animal	0.8	DSS mouse model
A087	36988616	T3	Lactobacillus combination	Food	increases_abundance_of	Akkermansia	Microbe	alters intestinal microbial composition close to normal by increasing abundances of Muribaculaceae, Akkermansia, Clostridia, Oscillospiraceae, and Lachnospiraceae	animal	0.8	DSS mouse model
A087	36988616	T4	Lactobacillus combination	Food	increases_abundance_of	Oscillospiraceae	Microbe	alters intestinal microbial composition close to normal by increasing abundances of Muribaculaceae, Akkermansia, Clostridia, Oscillospiraceae, and Lachnospiraceae	animal	0.8	DSS mouse model
A087	36988616	T5	Lactobacillus combination	Food	increases_abundance_of	Lachnospiraceae	Microbe	alters intestinal microbial composition close to normal by increasing abundances of Muribaculaceae, Akkermansia, Clostridia, Oscillospiraceae, and Lachnospiraceae	animal	0.8	DSS mouse model
A087	36988616	T6	Lactobacillus combination	Food	decreases_abundance_of	Escherichia	Microbe	and decreasing abundance of Escherichia-Shigella	animal	0.8	Escherichia used as proxy for Escherichia-Shigella
A088	38201190	T1	porcine intestinal mucosal peptides	Food	decreases_marker	ulcerative colitis	IBD_Outcome	PIMP at doses of 100 and 400 mg/kg/day also alleviated intestinal inflammatory responses, reduced tissue damage caused by DSS... PIMP as a functional food for the prevention and treatment of colitis.	animal	0.85	DSS mouse model; mapped as functional Food
A090	41079644	T1	lithocholic acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Therapeutically, rectal administration of lithocholic acid (LCA) and its derivative, 3-Oxo-5β-cholanoic acid (3-O-LCA), was found to... alleviate liver and intestinal injury.	animal	0.75	DSS mouse model; microbial metabolite administered therapeutically mapped as Food proxy
A090	41079644	T2	3-oxo-5beta-cholanoic acid	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Therapeutically, rectal administration of lithocholic acid (LCA) and its derivative, 3-Oxo-5β-cholanoic acid (3-O-LCA), was found to... alleviate liver and intestinal injury.	animal	0.75	DSS mouse model; bile acid derivative mapped as Food proxy
A095	36165557	T0	-	-	NONE	-	-	The present review will resume these works, pointing out the stage of life...	-	-	Off-scope: Broad narrative review, no specific resolvable taxa or food interventions
A096	38350464	T1	Bifidobacterium adolescentis	Microbe	decreased_in	inflammatory bowel disease	IBD_Outcome	reduced abundance of B. adolescentis as part of a dysbiotic colonic microbiota in human observational studies has been associated with inflammatory bowel diseases	cohort	0.85	Review of human observational cohort studies explicitly naming B. adolescentis dysbiosis
A096	38350464	T2	Bifidobacterium adolescentis	Microbe	produces	acetate	Bioactive	The major metabolic output is acetate and lactate	mechanistic	0.9	Explicit metabolic production mapping
A096	38350464	T3	Bifidobacterium adolescentis	Microbe	produces	lactate	Bioactive	The major metabolic output is acetate and lactate	mechanistic	0.9	Explicit metabolic production mapping
A097	38558708	T0	-	-	NONE	-	-	Inflammatory bowel disease (IBD) presents a complex interplay of chronic inflammation... associated with cardiovascular complications	-	-	Off-scope: Review of cardiovascular complications, no primary microbiome/intervention data
A098	38674587	T0	-	-	NONE	-	-	This review summarizes the impact of gut dysbiosis on host health and the various ways in which curcumin modulates dysbiosis...	-	-	Off-scope: Review article, no primary experimental taxa or direct intervention data
A099	38906386	T0	-	-	NONE	-	-	This paper provides a better understanding of the anti-inflammatory properties of rosemary polyphenols...	-	-	Off-scope: Review article, unresolvable functional groups (SCFA-producing bacteria, core probiotics)
A100	40488195	T0	-	-	NONE	-	-	In the present review, we highlight how the Th17/Treg balance affects intestinal permeability...	-	-	Off-scope: Review article, strict focus on excluded host immunology mechanisms (Th17/Treg)
